Area,Company,Item,2020,2021,2022,2023
Louisiana,ACADIAN GAS P L SYS,Commercial Volume,2258622,2189423,1812529,1591997
Louisiana,ACADIAN GAS P L SYS,Industrial Volume,310013370,287897287,301472521,312326295
Louisiana,ACADIAN GAS P L SYS,Electric Power Volume,10557971,10393032,3184631,5656185
Georgia,ADAIRSVILLE NAT GAS SYS,Residential Volume,42043,51132,54215,49488
Georgia,ADAIRSVILLE NAT GAS SYS,Commercial Volume,50317,58649,59913,55284
Georgia,ADAIRSVILLE NAT GAS SYS,Industrial Volume,501977,682085,784633,831933
Tennessee,ADAMSVILLE CITY OF,Residential Volume,53590,62182,59914,55715
Tennessee,ADAMSVILLE CITY OF,Commercial Volume,20847,25460,26912,35749
Tennessee,ADAMSVILLE CITY OF,Industrial Volume,15423,19008,19466,17098
Georgia,ADEL CITY OF,Residential Volume,8786,10284,12547,12584
Georgia,ADEL CITY OF,Commercial Volume,78506,80520,81698,65270
Georgia,ADEL CITY OF,Industrial Volume,73477,74258,77784,68245
Pennsylvania,ADELPHIA GATEWAY LLC,Industrial Volume,,,,2820300
Pennsylvania,ADELPHIA GATEWAY LLC,Electric Power Volume,19358585,33510204,32242763,81917922
Louisiana,AETHON UNITED PIPELINE LP,Industrial Volume,10745002,8679946,10463283,7218354
Oklahoma,AFTON PUBLIC WORKS AUTHORITY,Residential Volume,18206,24724,,21014
Oklahoma,AFTON PUBLIC WORKS AUTHORITY,Commercial Volume,4332,5883,,5045
Oklahoma,AFTON PUBLIC WORKS AUTHORITY,Industrial Volume,3545,4814,,4334
Minnesota,AGRINATURAL GAS LLC,Residential Volume,46639,41863,57097,48259
Minnesota,AGRINATURAL GAS LLC,Commercial Volume,49077,43007,61183,46468
Minnesota,AGRINATURAL GAS LLC,Industrial Volume,1120286,1530783,1525167,1416336
Colorado,AGUILAR TOWN OF,Residential Volume,22732,20585,17804,23384
Colorado,AGUILAR TOWN OF,Commercial Volume,7713,6568,6609,7652
West Virginia,AJAX P L CO,Commercial Volume,11348,11747,12198,11570
Alabama,ALABAMA GAS CORP,Residential Volume,16073174,18783622,17405687,15599634
Alabama,ALABAMA GAS CORP,Commercial Volume,11774474,12935861,13111274,12520499
Alabama,ALABAMA GAS CORP,Industrial Volume,48365827,52400915,49507186,49829922
Alabama,ALABAMA GAS CORP,Electric Power Volume,21440184,18291083,20965724,22386055
Alabama,ALABAMA GAS CORP,Vehicle Fuel Volume,4255,3095,6845,
Missouri,ALBANY MUN GAS SYS,Residential Volume,49429,48576,53321,46998
Missouri,ALBANY MUN GAS SYS,Commercial Volume,21717,21771,27053,22007
Missouri,ALBANY MUN GAS SYS,Industrial Volume,34911,36384,36884,36182
Georgia,ALBANY WTR GAS LT COMM,Residential Volume,269977,284107,267011,251585
Georgia,ALBANY WTR GAS LT COMM,Commercial Volume,439729,389648,357926,363787
Georgia,ALBANY WTR GAS LT COMM,Industrial Volume,5434246,4965425,4927375,4405054
Illinois,ALEDO CITY OF,Residential Volume,117387,113290,126387,104379
Illinois,ALEDO CITY OF,Commercial Volume,81880,82068,91362,75024
Illinois,ALEDO CITY OF,Industrial Volume,6512,6533,7327,6069
Alabama,ALEXANDER CITY MUN GAS CO,Residential Volume,82822,86016,75842,75654
Alabama,ALEXANDER CITY MUN GAS CO,Commercial Volume,139832,156454,153021,137795
Louisiana,ALEXANDRIA CITY OF GAS DEPT,Residential Volume,583657,598248,599235,474334
Louisiana,ALEXANDRIA CITY OF GAS DEPT,Commercial Volume,371398,380682,415310,350249
Louisiana,ALEXANDRIA CITY OF GAS DEPT,Industrial Volume,525676,538817,526598,454819
Connecticut,ALGONQUIN GAS TRANSMISSION COMPANY,Industrial Volume,187018,19127,19319,15092
Connecticut,ALGONQUIN GAS TRANSMISSION COMPANY,Electric Power Volume,92562981,95934190,92382344,99672796
Massachusetts,ALGONQUIN GAS TRANSMISSION COMPANY,Industrial Volume,0,,,
Massachusetts,ALGONQUIN GAS TRANSMISSION COMPANY,Electric Power Volume,51280102,58839492,54978190,53204759
Rhode Island,ALGONQUIN GAS TRANSMISSION COMPANY,Electric Power Volume,17214350,19043182,14572844,20587601
Iowa,ALLERTON GAS CO,Residential Volume,14453,14166,14266,12050
Iowa,ALLERTON GAS CO,Commercial Volume,2976,2753,3769,3157
Iowa,ALLERTON GAS CO,Industrial Volume,176532,201732,175067,117583
Illinois,ALLIANCE PIPELINE LP,Electric Power Volume,,,101748,26299
Iowa,ALLIANCE PIPELINE LP,Industrial Volume,1841819,1968870,2038469,2041763
North Dakota,ALLIANCE PIPELINE LP,Industrial Volume,2813515,3290639,3432677,3354402
Kansas,ALMA CITY OF,Residential Volume,26034,25614,27623,27061
Kansas,ALMA CITY OF,Commercial Volume,12796,13676,14093,12022
Kansas,ALMA CITY OF,Industrial Volume,26245,27017,37735,33283
Nebraska,ALMA NAT GAS CO CITY OF,Residential Volume,23465,24249,25836,25206
Nebraska,ALMA NAT GAS CO CITY OF,Commercial Volume,19537,21201,22142,20900
California,ALPINE NATURAL GAS INC,Residential Volume,71753,72445,74525,74157
California,ALPINE NATURAL GAS INC,Commercial Volume,2573,3194,3827,3914
Kansas,ALTAMONT CITY OF,Residential Volume,32082,29834,27382,24639
Kansas,ALTAMONT CITY OF,Commercial Volume,8178,7378,12019,10694
Texas,ALTO CITY OF,Residential Volume,17865,20583,20635,18466
Texas,ALTO CITY OF,Commercial Volume,26243,24938,23817,19867
Iowa,ALTON MUNICIPAL UTILITIES,Residential Volume,28458,27769,28479,27631
Iowa,ALTON MUNICIPAL UTILITIES,Commercial Volume,12378,12076,15360,16456
Iowa,ALTON MUNICIPAL UTILITIES,Industrial Volume,47427,17577,26889,14631
Illinois,AMEREN ILLINOIS,Residential Volume,52293895,52227229,56447367,45164261
Illinois,AMEREN ILLINOIS,Commercial Volume,43607305,45157058,47568448,42362935
Illinois,AMEREN ILLINOIS,Industrial Volume,63655671,58246213,61906008,59000614
Illinois,AMEREN ILLINOIS,Electric Power Volume,10772988,12725736,10691170,11271311
Missouri,AMEREN MISSOURI,Residential Volume,6943493,6732914,7618206,5975668
Missouri,AMEREN MISSOURI,Commercial Volume,6319956,6566699,7084271,6264171
Missouri,AMEREN MISSOURI,Industrial Volume,3756627,3894442,3928787,3591167
Missouri,AMEREN MISSOURI,Electric Power Volume,2647226,2796975,2823645,2705833
Kansas,AMERICAN ENERGIES GAS SERVICES LLC,Residential Volume,10837,10574,11591,9991
Kansas,AMERICAN ENERGIES GAS SERVICES LLC,Industrial Volume,20130,21068,25715,22472
Alabama,AMERICAN MIDSTREAM ALA INTRASTATE,Industrial Volume,3656167,,,
Louisiana,AMERICAN MIDSTREAM LA INTRASTATE LLC,Industrial Volume,979392,,,
